iso3c	election_date	election_type	cv_imputed
AUT	2019-05-26	ep	 0
BEL	2019-05-26	ep	 1
BGR	2019-05-26	ep	 1
CYP	2019-05-26	ep	 1
CZE	2019-05-24	ep	 0
DEU	2019-05-26	ep	 0
DNK	2019-05-26	ep	 0
ESP	2019-04-28	parliament	0
ESP	2019-05-26	ep	 0
EST	2019-05-26	ep	 0
FIN	2019-05-26	ep	 0
FRA	2019-05-26	ep	 0
GBR	2019-05-23	ep	 0
GRC	1990-04-08	parliament	1
GRC	2019-05-26	ep	 1
HRV	2019-05-26	ep	 0
HUN	2019-05-26	ep	 0
IRL	2019-05-24	ep	 0
ITA	2019-05-26	ep	 0
LTU	2019-05-26	ep	 0
LUX	2019-05-26	ep	 1
LVA	2019-05-25	ep	 0
MLT	2019-05-26	ep	 0
NLD	2019-05-23	ep	 0
POL	2019-05-26	ep	 0
PRT	2019-05-26	ep	 0
ROU	2019-05-26	ep	 0
SVK	2019-05-25	ep	 0
SVN	2019-05-26	ep	 0
SWE	2019-05-26	ep	 0
