iso3c	date	date_start	pg_date
CZE	2009-06-06	2009-06-05	2009-06-07
DNK	1979-06-07	NA	1979-06-10
DNK	1989-06-15	NA	1989-06-18
DNK	1994-06-09	NA	1994-06-12
DNK	1999-06-10	NA	1999-06-13
ESP	1989-06-15	NA	1989-06-18
FRA	2014-05-25	NA	2014-05-24
GBR	1979-06-07	NA	1979-06-10
GBR	1984-06-14	NA	1984-06-17
IRL	1979-06-07	NA	1979-06-10
IRL	1984-06-14	NA	1984-06-17
IRL	1989-06-15	NA	1989-06-18
IRL	1994-06-10	NA	1994-06-12
IRL	1999-06-11	NA	1999-06-13
IRL	2004-06-11	NA	2004-06-13
ITA	2004-06-13	2004-06-12	2004-06-12
LVA	2004-06-12	NA	2004-06-13
LVA	2009-06-06	NA	2009-06-07
MLT	2004-06-12	NA	2004-06-13
MLT	2014-05-24	NA	2014-05-25
NLD	1979-06-07	NA	1979-06-10
NLD	1984-06-14	NA	1984-06-17
NLD	1989-06-15	NA	1989-06-18
NLD	1994-06-09	NA	1994-06-12
NLD	1999-06-10	NA	1999-06-13
NLD	2004-06-10	NA	2004-06-13
NLD	2014-05-22	NA	2014-05-25
SVK	2009-06-06	NA	2009-06-07
SVK	2014-05-24	NA	2014-05-25
